,Site_plot,Mahonia leschenaultii,Toddalia asiatica,Sp124858,Rubus spp,Sp105132,Sp122024,Mappia foetida,Osbeckia wightiana,Oldlendia articularis ,Gaultheria fragrantissima,Sp113255,Eurya japonica,Pilea wightii,Liana,Psychotria nilgiriensis,Sp101440,Daphniphyllum neilgherense,Sp131528,Sp132022,Piper nigrum,Elaeagnus kologa,Sp110222,Hypericum mysorense ,Sp1pVM4r,Symplocos cochinchinensis,Sp1f8pkQ,Sp18di1e,Syzygium spp,Bamboo spp,Sp1NGBvS,Cinnamomum perrottetii,SpUK1,Neolitsea zeylanica,No_pic,Potentilla indica,Sp1SvQDO,Sp1tyZZL,Rhododendron arboreum,Sp1lmWU7,Strobilanthes spp,Sp1RO5AX,Sp1ujpFP,Berberis tinctoria,Rapanea wightiana,Sp1yhVqj,Sp1FHoOe,Site.description,Plot.description,Plot,Site,Acacia,Eucalyptus,Others,Pine,Shola,Tot_bas_ar,Date,Lat.deci..N.,Long.Deci..E.,Plot.location,Elevation,Fresh.stumps,Fresh.Cuts,Logs,Canopy,Stems,Moss,Acacia.regen,Ageratina.spp.,Bamboo,Bidens.pilosa,Coffee,Cestrum,Cupress,Daphniphyllum,Eucalyptus.regen,Eupatorium,Ipomea.purpurea,Lantana,Mikania.micrantha,Other,Pine.regen,Rubus,Shola.regen,Tea,Gorse,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VS9,VS10,LL,Fire,Fern,VSsum,TCI_2x2,Elevation,Aspect,Slope,TRI,shlbfr1ha,shlbfr2ha,shlbfr3ha,shlbfr4ha,shlbfr5ha,Aspect_rad,Sine.aspect,Cosine.aspect,TWI,Acacia.abv,Bamboo.abv,Cestrum.abv,Daphniphyllum.abv,Eupatorium.abv,Rubus.abv,Shola.abv,Solanum.mauritianum.abv,Others.abv,Lantana.abv,Ageratina.spp.abv,Coffee.abv,Eucalyptus.abv,Tea.abv,Mikania.micrantha.abv,Pine.abv,Acacia.blw,Bamboo.blw,Cestrum.blw,Daphniphyllum.blw,Eupatorium.blw,Rubus.blw,Shola.blw,Solanum.mauritianum.blw,Others.blw,Eucalyptus.blw,Ageratina.spp.blw,Lantana.blw,Pine.blw,Strobilanthes.spp.blw,Bidens.pilosa.blw,Coffee.blw,Ipomea.purpurea.blw,Tea.blw,Ann.Temp,Temp.seasonality,Ann.prec,Mxtmp_hotmnths,Mntmp_cldmnths,Prec_seasnlty,Prec_drymnths,Prec_cldmnths,ln_shlbfr1ha,Ln_elevation,Tot_ct_tree,ln_shlbfr2ha,ln_shlbfr3ha,ln_shlbfr4ha,ln_shlbfr5ha,Acacia.1,Eucalyptus.1,Pine.1,Shola.abv.1,Shola.blw.1,Others.1,Shola.1,rds_lngth_5ha,rds_lngth_4ha,rds_lngth_3ha,rds_lngth_2ha,rds_lngth_1ha,TPI,Agerat_Eupat,Type1,Solanum,Ageratina adenophora,Ageratum conyzoides,Ageratum houstonianum,Chromalaena odorata,Type1
54,BCS897_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near By kanthalloor town,Eucalyptus,1,BCS897,0,0.022472678,0,0,0,0.022472678,29/04/21,10.2258722,77.2086301,1Ha,1485.795471,0,0,0,71.4,33.5,10,0,43,0,0,0,0,0,0,5,0,0,11,0,0,0,0,4,0,0,5,5,4,2,3,4,4,3,3,2,1,0,7,35,-3.557608843,1489,41.77547836,22.33722305,30.87069893,0,0,0,0,0,0.729119644,0.666213358,0.745761196,-0.587786674,0,0,0,0,0,0,0,0,0,11,33,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,17.95000076,108.9,1823.8,24.75,11.35,52.5,25.3,348,0,7.305860033,3,0,0,0,0,0,BCS897_1,0,0,BCS897_1,0,0,293,247,184,100,43,-0.375,43,Eucalyptus,0,43,0,0,0,Eucalyptus
57,BCZ931_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Near magic wally,,2,BCZ931,0,0.375947849,0,0,0,0.375947849,12/04/21,10.2193543,77.2397437,1Ha,1586.4833,1,0,0,73.8,1.75,10,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,0,0,0,0,1,0,0,7,-4.998429775,1567,310.3645325,23.2448864,33.10589218,0,0,0,0,0,5.416882974,-0.761939364,0.647648366,-0.587786674,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,18.54999924,112,1803.1,25.35,11.85,52.6,25.2,346.9,0,7.356918242,9,0,0,0,0,0,BCZ931_2,0,BCZ931_2,BCZ931_2,0,0,0,0,0,0,0,-1,36,Eucalyptus,0,36,0,0,0,Eucalyptus
59,BDD930_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Chilanthiyar mandir,NA,2,BDD930,0,0.007647395,0,0,0,0.007647395,04/12/21,10.2154763,77.2393207,1Ha,1555.712816,8,0,16,44.8,3.25,10,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,3,5,-22.57657242,1567,254.0546112,10.16367054,15.32971001,0,0,0,0,0,4.434089445,-0.961523982,-0.274721009,2.086362123,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17.75,112,1827.3,24.55,11.05,52.7,25.2,344.7,0,7.356918242,1,0,0,0,0,0,BDD930_2,0,BDD930_2,0,0,0,200,172,141,100,33,-1.875,28,Eucalyptus,0,28,0,0,0,Eucalyptus
60,BDF965_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near kadavari,,1,BDF965,0.260210374,0.092819163,0,0,0,0.353029537,13/04/21,10.2130909,77.270978,1Ha,2218.656074,0,0,7,73.8,3.25,30,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,2,2,0,2,1,0,2,12,8.242478371,2252,276.9529419,18.73837852,29.46183968,0,0,0,0,0,4.833740709,-0.99264591,0.121054106,-1.280933857,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,14.05000019,109.9,1748.3,20.65,7.25,52.9,24.7,343.5,0,7.719573989,9,0,0,0,0,BDF965_1,BDF965_1,0,0,0,0,0,0,0,0,0,0,3.75,48,Mixed,0,48,0,0,0,Acacia-Eucalyptus
61,BDF965_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near kadavari,,2,BDF965,0.351318621,0,0,0,0,0.351318621,13/04/21,10.2137805,77.2710469,1Ha,2220.463256,0,0,2,75.6,2,30,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,1,1,1,1,1,0,0,12,25.70792198,2241,310.2363586,7.932157993,16.4924221,0,0,0,0,0,5.414645917,-0.763386282,0.645942245,-1.280933857,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,14.05000019,109.9,1748.3,20.65,7.25,52.9,24.7,343.5,0,7.714677474,8,0,0,0,0,BDF965_2,0,0,0,0,0,0,0,0,0,0,0,3.5,41,Acacia,0,41,0,0,0,Acacia
62,BDG990_1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near  Clavara ATR camp,Eucalyptus + Accatia,1,BDG990,0.026753946,0.625303856,0,0,0,0.652057802,08/01/22,10.2121937,77.2933979,1Ha,2133.311035,0,2,1,36.2,12.25,10,101,80,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,0,0,10,5,4,1,3,2,2,0,2,6,1,0,0,35,-4.485610485,2122,203.9162445,27.14015579,39.02563095,0,0,0,0,0,3.559009865,-0.40540078,-0.914139053,1.203972816,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,33,46,0,0,0,80,0,0,0,0,0,0,0,14.25,111.9,1719.7,20.85,7.35,53.2,24.5,346.7,0,7.660114319,8,0,0,0,0,BDG990_1,BDG990_1,0,0,BDG990_1,0,0,0,0,0,0,0,-0.375,80,Mixed,0,80,0,0,0,Acacia-Eucalyptus
63,BDG990_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Near  Clavara ATR camp,Eucalyptus+Aciaca,2,BDG990,0.020626481,1.195762918,0,0,0,1.216389399,08/01/22,10.2126137,77.2934398,1Ha,2147.732178,0,0,0,27.8,9.5,10,0,116,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,4,4,4,4,0,0,2,0,0,0.9,0,2,28,-4.999053001,2135,203.3177185,27.23370743,40.19950104,0,0,0,0,0,3.548563615,-0.39582951,-0.918324016,1.021651268,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,14.25,111.9,1719.7,20.85,7.35,53.2,24.5,346.7,0,7.666221926,10,0,0,0,0,BDG990_2,BDG990_2,0,0,0,0,0,0,0,0,0,0,-2.5,116,Mixed,0,116,0,0,0,Acacia-Eucalyptus
64,BDH977_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Near by Kottakkampoor,Aciaca,1,BDH977,0.107851347,0,0,0,0,0.107851347,09/01/22,10.2111586,77.2817819,1Ha,2218.989014,0,0,2,37.6,1,30,11,53,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,5,2,0,0,0,0,2,1,2,2,1,0,1,14,-18.91502953,2245,352.0565186,19.46007156,28.16025543,0,0,0,0,0,6.144545403,-0.138196198,0.990404872,1.663505197,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,11,0,0,0,0,1,1,0,2,0,28,0,0,0,0,0,0,0,13.75,110,1732.5,20.45,7.05,53,24.5,343.5,0,7.7164608,4,0,0,0,0,BDH977_1,0,0,0,BDH977_1,0,0,0,0,0,0,0,-2.375,53,Acacia,0,53,0,0,0,Acacia
65,BDH977_2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Near by Kottakkampoor,Aciaca,2,BDH977,0.066280076,0,0,0,0,0.066280076,09/01/22,10.2117906,77.2819426,1Ha,2214.626953,0,0,4,34.4,3,60,8,23,0,0,0,0,0,0,0,0,0,0,0,1,0,3,25,0,0,4,2,1,0,0,1,1,1,1,3,1,0,0,14,-4.668277264,2233,316.0230103,17.93837738,24.59674835,0,0,0,0,0,5.515642042,-0.694369424,0.719618721,-0.587786674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,28,0,1,0,23,0,0,0,0,0,0,0,13.75,110,1732.5,20.45,7.05,53,24.5,343.5,0,7.711101252,2,0,0,0,0,BDH977_2,0,0,0,BDH977_2,0,0,0,0,0,0,0,-1.125,23,Acacia,0,23,0,0,0,Acacia
67,BDJ870_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Near By strawberry Farm,Eucalyptus,2,BDJ870,0,0.212081919,0,0,0,0.212081919,29/04/21,10.2101909,77.1842761,1Ha,1394.479005,0,0,0,54,4.5,10,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,5,2,1,2,2,1,2,1,1,1,0.8,0,4,18,0.009731694,1396,21.03751373,27.04978561,39.92493057,8773,18445,28118,37790,47173,0.367173881,0.358979123,0.933345589,-0.182321563,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.85000038,105.5,1975.8,25.75,12.25,52.9,26.5,351.5,9.079548082,7.241366283,6,9.822602824,10.24420078,10.53982626,10.76159817,0,BDJ870_2,0,BDJ870_2,0,0,0,0,0,0,0,0,-3,0,Eucalyptus,0,0,0,0,0,Eucalyptus
